file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,75,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,76,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,10
style.css,77,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,78,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,59
style.css,79,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,10
style.css,80,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,12
style.css,81,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,82,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,83,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,84,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,22
style.css,85,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,61
style.css,86,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,25
style.css,87,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,12
style.css,88,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,89,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,90,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,91,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,92,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,21
style.css,93,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,68
style.css,94,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,95,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,96,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,22
style.css,97,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,11
style.css,98,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,99,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,100,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,30
style.css,101,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,102,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,103,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,104,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,105,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,106,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,107,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,108,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,9
style.css,109,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,110,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,3
style.css,111,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,15
style.css,112,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,113,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,114,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,115,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,116,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,2
style.css,117,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,2
style.css,118,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,2
style.css,119,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,2
style.css,120,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,3
style.css,121,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,122,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,123,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,124,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,125,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,8
style.css,126,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,127,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,128,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,129,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,130,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,16
style.css,131,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,132,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,133,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,134,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,135,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,11
style.css,136,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,137,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,138,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,139,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,140,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,11
style.css,141,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,142,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,143,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,144,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,44
style.css,145,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,21
style.css,146,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,147,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,148,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,11
style.css,149,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,150,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,15
style.css,151,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,20
style.css,152,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,153,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,154,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,44
style.css,155,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,12
style.css,156,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,157,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,13
style.css,158,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,31
style.css,159,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,160,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,10
style.css,161,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,162,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,163,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,164,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,23
style.css,165,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,166,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,167,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,168,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,169,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,23
style.css,170,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,17
style.css,171,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,26
style.css,172,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,18
style.css,173,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,174,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,175,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,176,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,11
style.css,177,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,19
style.css,178,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,15
style.css,179,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,180,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,181,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,14
style.css,182,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,21
style.css,183,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,0
style.css,184,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,62
style.css,185,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,16
style.css,186,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,10
style.css,187,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,26
style.css,188,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,24
style.css,189,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,23
style.css,190,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,191,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,192,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,22
style.css,193,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,22
style.css,194,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,3
style.css,195,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,3
style.css,196,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,3
style.css,197,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,2
style.css,198,css,00000000,Not Committed Yet,2025-05-09,13:22:10,-07:00,2025-05-09T13:22:10-07:00,0,48
style.css,199,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,20
style.css,200,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,21
style.css,201,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,202,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,203,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,68
style.css,204,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,18
style.css,205,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,70
style.css,206,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,20
style.css,207,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,21
style.css,208,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,38
style.css,209,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,210,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,211,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,14
style.css,212,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,18
style.css,213,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,9
style.css,214,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,11
style.css,215,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,14
style.css,216,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,20
style.css,217,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,0
style.css,218,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,0
style.css,219,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,21
style.css,220,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,20
style.css,221,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,0
style.css,222,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,27
style.css,223,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,70
style.css,224,css,407adafa,tejassmani,2025-04-17,18:39:56,-07:00,2025-04-17T18:39:56-07:00,0,0
style.css,225,css,29ecf8fe,tejassmani,2025-04-12,16:35:09,-07:00,2025-04-12T16:35:09-07:00,0,0
style.css,226,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,15
style.css,227,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,13
style.css,228,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,37
style.css,229,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,18
style.css,230,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,9
style.css,231,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,18
style.css,232,css,6e0195c2,tejassmani,2025-04-25,11:50:20,-07:00,2025-04-25T11:50:20-07:00,0,0
